sigma,trial,sse,param_error,grad_norm
0.01,0,0.007260335697990833,0.0029058186907077385,1.1346452606927674e-07
0.01,1,0.009255039983445134,0.0019596848920348017,7.663686727771657e-08
0.01,2,0.008253588187145122,0.0014882759493129287,2.0748276985642208e-07
0.01,3,0.009688101979279485,0.0015290865269205814,3.349293347700578e-07
0.01,4,0.00817553567286448,0.0022895277709980327,7.318364248060247e-08
0.01,5,0.00970289296194534,0.004006181915114167,6.041649892992356e-07
0.01,6,0.011266535041766921,0.0023465817465326048,6.427718467377058e-08
0.01,7,0.011347060358535228,0.0015979963766476022,9.581830912102829e-08
0.01,8,0.009250054563805586,0.0009330280918491438,3.5282760133444667e-07
0.01,9,0.008705916599702117,0.001359974210872132,6.121611064899594e-08
0.01,10,0.009996421492626837,0.00100183953117841,1.1281706233839123e-07
0.01,11,0.010180724289963167,0.0003071631378232605,7.308368239323803e-08
0.01,12,0.009742479739325599,0.0008479488001015454,7.082872118675887e-08
0.01,13,0.009562768218443436,0.0006347395615623486,1.9228379464425882e-08
0.01,14,0.010343342019433342,0.0024339539825393003,2.2327111943910836e-07
0.01,15,0.009610367793795871,0.0007264243503593455,7.3132045502917e-08
0.01,16,0.007988219653003118,0.002866074226258647,2.294828686845074e-08
0.01,17,0.009343254479482772,0.0010235791105992532,2.0239680104299248e-08
0.01,18,0.010739748423484859,0.0014653824187275612,1.2872119972637507e-07
0.01,19,0.009770195659651813,0.00037845372334539064,6.678620005885032e-08
0.05,0,0.2299725320638955,0.007978546347366167,2.799588467717968e-08
0.05,1,0.20788169968486908,0.006122058226527723,7.701865803090341e-07
0.05,2,0.27429589732812887,0.004284000008556762,2.2874396075784674e-07
0.05,3,0.26363940980991196,0.004402719451759315,5.849648353426174e-07
0.05,4,0.24422714315652674,0.004533051391850672,1.977193451334348e-06
0.05,5,0.2339344526660332,0.006397803479002261,1.9993814733857044e-06
0.05,6,0.23443882012898684,0.009436210476371094,9.692226171861371e-07
0.05,7,0.2783364644830321,0.004292826034862541,1.2625643762164075e-07
0.05,8,0.23211717173669688,0.012354587505336858,2.1341401188890064e-07
0.05,9,0.2471351449266581,0.004916562050458659,5.221327382996065e-08
0.05,10,0.23724488080355252,0.0038341077086546833,5.505022937173555e-07
0.05,11,0.26067980303728566,0.00943195401032697,1.4902384915428244e-08
0.05,12,0.20245602521010309,0.004368217591659659,5.477165110093174e-07
0.05,13,0.2532358618178716,0.010984507232829975,1.417639342867207e-07
0.05,14,0.19918805211437543,0.001020415569994309,7.655311605063173e-07
0.05,15,0.23199102428313728,0.011887637977859357,2.4009349266438792e-08
0.05,16,0.20686598836700604,0.010094066352208164,7.220884415391465e-07
0.05,17,0.16495840777712267,0.0047060920036018404,2.7642928506146855e-08
0.05,18,0.23809876166783478,0.0032395480715772694,1.5454266054514388e-06
0.05,19,0.25554157729873106,0.006198423015265315,2.6783014752123548e-08
0.1,0,0.9101108354343661,0.007109774052077226,1.361286753807798e-06
0.1,1,0.879538140837304,0.006257768258306038,1.5907022140177835e-06
0.1,2,1.0184661132747206,0.010407877734685307,6.989147241454884e-07
0.1,3,1.226355530606719,0.013810863156778274,7.07698947062608e-07
0.1,4,0.9668870471464099,0.015892012683104688,7.299375813061018e-08
0.1,5,0.8473583745841784,0.011038008949482463,4.174814870692356e-08
0.1,6,1.091655155389335,0.007109212276809377,1.1609034519882497e-06
0.1,7,0.9620567635374548,0.00922734133291612,1.6815874099508195e-07
0.1,8,0.972216903288798,0.010625733013300474,4.050533740820348e-07
0.1,9,1.3720560540099873,0.004229956837660608,1.4810746556166944e-06
0.1,10,0.9167036308682084,0.017326601854859083,1.292006902537086e-07
0.1,11,1.0104063489548665,0.00495170565826475,8.312015946290593e-08
0.1,12,1.1919735009913248,0.0184297015892685,7.137258826108262e-08
0.1,13,0.9216118040032372,0.014131729045681827,4.866145970062764e-08
0.1,14,0.8815539037801348,0.01648624963731102,8.341751095066218e-08
0.1,15,1.0136609918518342,0.00966950479189605,6.203886285201339e-07
0.1,16,0.9340193943085104,0.021208381318315914,8.669894973510194e-08
0.1,17,0.9103328904780272,0.01225717198923385,4.803496952363144e-07
0.1,18,1.021356564470264,0.024583131490164566,2.6776474190123946e-07
0.1,19,1.2085330169444466,0.012743091943354046,3.8363345351744e-08
0.2,0,4.240950842089056,0.02711286602352131,5.189534361573634e-07
0.2,1,3.9493177124265446,0.03521187404658298,2.295462671971313e-07
0.2,2,3.777415910222701,0.01381421091631339,8.657212152971151e-07
0.2,3,3.616332165113123,0.03124803347857742,3.356568272308626e-08
0.2,4,4.200276710830201,0.01192292244457299,2.5012046434715037e-06
0.2,5,2.9992101589613798,0.029794534656121325,1.5168216242208364e-07
0.2,6,3.660404574826406,0.03583652962943223,8.09826392380053e-07
0.2,7,3.8931716326718675,0.03301942736010119,1.6349979705292813e-07
0.2,8,3.579872383339011,0.03188458824632617,2.0378310337110877e-07
0.2,9,3.6299566917215236,0.01690115973288711,5.823910123484865e-07
0.2,10,3.594490714876814,0.017587854744188357,7.685954578137441e-07
0.2,11,3.5162144294549833,0.017932564496796737,3.144345254931948e-07
0.2,12,4.509370118060156,0.02747167791423469,2.480215855052335e-07
0.2,13,3.621296807703507,0.02169872038705686,7.087036512597615e-07
0.2,14,3.7526360486062664,0.03170228891248744,4.410512587775567e-07
0.2,15,3.464454345090381,0.04823101642009828,1.614785158170645e-06
0.2,16,4.447813666321471,0.011161092818430734,1.0178827545950988e-06
0.2,17,3.8940604864854516,0.050505702166996354,8.802583311505246e-08
0.2,18,3.896684296101199,0.06516540718827145,1.4419750894293721e-07
0.2,19,4.210065444403471,0.01857716264901444,4.501746891463412e-07
